Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_20D
2025-10-16 00:00:00-04:00,181.79445210488134,182.84194556906473,179.34034021746592,181.37545776367188,179723300,0.0,0.0,1.1010386767360991,2.270589484809978
2025-10-17 00:00:00-04:00,179.74934657743225,183.65999082680747,179.3203816221287,182.78208923339844,173135200,0.0,0.0,0.7755357241106875,2.274480409213156
2025-10-20 00:00:00-04:00,182.69231029505525,184.75735492260156,181.2956472677441,182.20347595214844,128544700,0.0,0.0,-0.31655906969700887,2.100343981423651
2025-10-21 00:00:00-04:00,182.35309871753384,182.35309871753384,179.37025499304198,180.7270050048828,124240200,0.0,0.0,-0.8103418112909044,2.0043885691701866
2025-10-22 00:00:00-04:00,180.7070509305708,183.00155667206866,176.33751483638122,179.84910583496094,162249600,0.0,0.0,-0.485759817631104,1.9977805774183701
2025-10-23 00:00:00-04:00,179.988777912505,182.59254038327154,179.3602787988416,181.72462463378906,111363700,0.0,0.0,1.042829092822517,2.0077586097704874
2025-10-24 00:00:00-04:00,183.40059008116805,187.0219186862977,183.06140638753934,185.81480407714844,131296700,0.0,0.0,2.2507568534544387,2.062414888699185
2025-10-27 00:00:00-04:00,189.53590332097463,191.54109366524804,187.97961914819697,191.03231811523438,153452700,0.0,0.0,2.8079108465005165,2.103748976140453
2025-10-28 00:00:00-04:00,192.58860677151606,202.6644582837766,191.45133202040452,200.54953002929688,297986200,0.0,0.0,4.981990486196963,2.300206853694698
2025-10-29 00:00:00-04:00,207.482921843539,211.6828666070652,204.29057291407037,206.545166015625,308829600,0.0,0.0,2.989603608371594,2.371877455425629
2025-10-30 00:00:00-04:00,204.65966800141675,205.66726375798942,200.9286166610889,202.4050750732422,178864400,0.0,0.0,-2.0044482387303164,2.436327339727766
2025-10-31 00:00:00-04:00,205.95656932325562,207.4729406961805,201.5870481318289,202.00604248046875,179802200,0.0,0.0,-0.1971455471800998,2.4277602100873756
2025-11-03 00:00:00-05:00,207.58265732795536,210.83485992622803,205.068676268978,206.38552856445312,180267300,0.0,0.0,2.167997565918256,2.4304277806503984
2025-11-04 00:00:00-05:00,202.51479915904252,203.48248192945988,197.4569099225941,198.21510314941406,188919300,0.0,0.0,-3.9588170119628674,2.6296609669660813
2025-11-05 00:00:00-05:00,198.29492759193732,202.43500266122365,194.18476438007542,194.74343872070312,171350300,0.0,0.0,-1.7514631193840002,2.6349346321037777
2025-11-06 00:00:00-05:00,195.95054108781363,197.1476699621838,185.9345440647224,187.63047790527344,223029800,0.0,0.0,-3.652477773914087,2.738712586468229
2025-11-07 00:00:00-05:00,184.45808484875374,187.86992448023628,178.48241062826605,187.7003173828125,264942300,0.0,0.0,0.03722181935406077,2.4945187466726897
2025-11-10 00:00:00-05:00,194.6436788693004,199.46213677715232,193.32682642239038,198.5742645263672,198897100,0.0,0.0,5.793249204463202,2.73799192893407
2025-11-11 00:00:00-05:00,194.69355355890158,194.9529266552934,190.84277869998112,192.69833374023438,176483300,0.0,0.0,-2.9590595740832226,2.6238368241548113
2025-11-12 00:00:00-05:00,195.25221648764446,195.4218083488666,190.673190567689,193.33680725097656,154935300,0.0,0.0,0.33133317675848595,2.621297625792214
2025-11-13 00:00:00-05:00,190.59336353184335,190.98243076168436,183.4105757073767,186.4133758544922,207423100,0.0,0.0,-3.5810208593632376,2.7613969560937965
2025-11-14 00:00:00-05:00,182.42294356130517,190.55345800755302,180.14839424900484,189.71546936035156,186591900,0.0,0.0,1.7713822791540768,2.7817356180518336
2025-11-17 00:00:00-05:00,185.52550787171305,188.54826454585316,183.8794576828592,186.1540069580078,173628900,0.0,0.0,-1.8772651562635634,2.8193015904341965
2025-11-18 00:00:00-05:00,182.94170515591497,184.35830936263392,179.22060933347112,180.92652893066406,213598900,0.0,0.0,-2.8081469277870252,2.8894445032812603
2025-11-19 00:00:00-05:00,184.3483273978252,187.41099710874653,182.39302051116815,186.07420349121094,247246400,0.0,0.0,2.845174000170858,2.952553367473291
2025-11-20 00:00:00-05:00,195.4816571057099,195.53154064523628,179.42014682895694,180.208251953125,343504800,0.0,0.0,-3.152479724769053,3.038168694095309
